type,store,core,size,count,output
singles_group,Universal,Nike Футболка черная,2XL,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/30.9.25_Universal_qnt17/NORMAL_singles/Nike Футболка черная_2XL-1.pdf
singles_group,Universal,Принт 5в1 черный,2XL,3,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/30.9.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_2XL-3.pdf
singles_group,Universal,Принт 5в1 черный,L,4,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/30.9.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_L-4.pdf
singles_group,Universal,Принт 5в1 черный,M,2,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/30.9.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_M-2.pdf
singles_group,Universal,Принт 5в1 черный,XL,7,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/30.9.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_XL-7.pdf
