type,store,core,size,count,output
singles_group,11KZ,Принт 5в1 черный,2XL,1,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_11KZ_qnt6/NORMAL_singles/Принт 5в1 черный_2XL-1.pdf
singles_group,11KZ,Принт 5в1 черный,L,1,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_11KZ_qnt6/NORMAL_singles/Принт 5в1 черный_L-1.pdf
singles_group,11KZ,Принт 5в1 черный,S,1,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_11KZ_qnt6/NORMAL_singles/Принт 5в1 черный_S-1.pdf
singles_group,11KZ,Принт 5в1 черный,XL,3,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_11KZ_qnt6/NORMAL_singles/Принт 5в1 черный_XL-3.pdf
