type,store,core,size,count,output
singles_group,11KZ,Принт 5в1 черный,L,2,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/2.10.25_11KZ_qnt10/NORMAL_singles/Принт 5в1 черный_L-2.pdf
singles_group,11KZ,Принт 5в1 черный,XL,8,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/2.10.25_11KZ_qnt10/NORMAL_singles/Принт 5в1 черный_XL-8.pdf
