type,store,core,size,count,output
singles_group,OnlyFit,Принт 5в1 черный,L,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/1.10.25_OnlyFit_qnt5/NORMAL_singles/Принт 5в1 черный_L-1.pdf
singles_group,OnlyFit,Принт 5в1 черный,M,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/1.10.25_OnlyFit_qnt5/NORMAL_singles/Принт 5в1 черный_M-1.pdf
singles_group,OnlyFit,Принт 5в1 черный,XL,3,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/1.10.25_OnlyFit_qnt5/NORMAL_singles/Принт 5в1 черный_XL-3.pdf
