order_id,handover,warehouse,status,signature,__source_file__
655800637,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655553985,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655398130,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
654938120,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655263645,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655680194,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655365160,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655256139,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655170616,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655797760,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
654998636,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655723124,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655307886,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655173320,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655747539,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655321281,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655517048,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655555347,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655060183,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
655142836,2025-09-29,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
654970783,2025-09-29,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
655202847,2025-09-29,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
655491456,2025-09-29,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
654551736,2025-09-28,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
655136574,2025-09-29,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
655347084,2025-09-29,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
655746986,2025-09-29,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
655250002,2025-09-29,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
655256137,2025-09-29,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
655081525,2025-09-29,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
655791922,2025-09-29,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
655117744,2025-09-29,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
653734922,2025-09-28,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
654134297,2025-09-28,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
655492349,2025-09-29,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
655607309,2025-09-29,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
655366757,2025-09-29,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
655236093,2025-09-29,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
655256138,2025-09-29,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
655495947,2025-09-29,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
655791592,2025-09-29,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
655166332,2025-09-29,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
655755518,2025-09-29,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
655658428,2025-09-29,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
655795525,2025-09-29,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
