type,store,core,size,count,output
singles_group,OnlyFit,Костюм Ромбик ДЕТСКИЙ,28,1,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_OnlyFit_qnt11/NORMAL_singles/Костюм Ромбик ДЕТСКИЙ_28-1.pdf
singles_group,OnlyFit,Принт 5в1 черный,3XL,2,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_OnlyFit_qnt11/NORMAL_singles/Принт 5в1 черный_3XL-2.pdf
singles_group,OnlyFit,Принт 5в1 черный,L,6,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_OnlyFit_qnt11/NORMAL_singles/Принт 5в1 черный_L-6.pdf
singles_group,OnlyFit,Принт 5в1 черный,M,1,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_OnlyFit_qnt11/NORMAL_singles/Принт 5в1 черный_M-1.pdf
singles_group,OnlyFit,Принт 5в1 черный,XL,1,/Users/adil/Documents/kaspi/Kaspi_orders/Today/24.9.25_OnlyFit_qnt11/NORMAL_singles/Принт 5в1 черный_XL-1.pdf
