type,store,core,size,count,output
singles_group,Universal,ESDY51,L,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/2.10.25_Universal_qnt19/NORMAL_singles/ESDY51_L-1.pdf
singles_group,Universal,Принт 5в1 черный,2XL,5,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/2.10.25_Universal_qnt19/NORMAL_singles/Принт 5в1 черный_2XL-5.pdf
singles_group,Universal,Принт 5в1 черный,3XL,5,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/2.10.25_Universal_qnt19/NORMAL_singles/Принт 5в1 черный_3XL-5.pdf
singles_group,Universal,Принт 5в1 черный,L,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/2.10.25_Universal_qnt19/NORMAL_singles/Принт 5в1 черный_L-1.pdf
singles_group,Universal,Принт 5в1 черный,S,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/2.10.25_Universal_qnt19/NORMAL_singles/Принт 5в1 черный_S-1.pdf
singles_group,Universal,Принт 5в1 черный,XL,3,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/2.10.25_Universal_qnt19/NORMAL_singles/Принт 5в1 черный_XL-3.pdf
singles_group,Universal,Трусы белые,XL,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/2.10.25_Universal_qnt19/NORMAL_singles/Трусы белые_XL-1.pdf
