order_id,handover,warehouse,status,signature,__source_file__
657372132,2025-10-01,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
657280370,2025-10-01,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
657727863,2025-10-01,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
656959800,2025-10-01,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
657688440,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657590491,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657655582,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657004182,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657239110,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657609229,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
656968337,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657156920,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657657067,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657614986,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657392670,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657496064,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657851343,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
656899796,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657749877,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657235705,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657526167,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657715571,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657590521,2025-10-01,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
657139782,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657526908,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657011308,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657450407,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657462378,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657679076,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657318810,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657728198,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
656989499,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657630375,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657575078,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657607720,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657285606,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
656921145,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657170039,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657844628,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657109919,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657768082,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657382251,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657509226,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657163341,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657815254,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657649741,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657202723,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657033149,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
657720640,2025-10-01,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
