type,store,core,size,count,output
singles_group,Universal,Nike Футболка черная,2XL,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/5.10.25_Universal_qnt20/NORMAL_singles/Nike Футболка черная_2XL-1.pdf
singles_group,Universal,Костюм мужской Ромбик,XL,2,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/5.10.25_Universal_qnt20/NORMAL_singles/Костюм мужской Ромбик_XL-2.pdf
singles_group,Universal,Принт 5в1 черный,2XL,2,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/5.10.25_Universal_qnt20/NORMAL_singles/Принт 5в1 черный_2XL-2.pdf
singles_group,Universal,Принт 5в1 черный,3XL,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/5.10.25_Universal_qnt20/NORMAL_singles/Принт 5в1 черный_3XL-1.pdf
singles_group,Universal,Принт 5в1 черный,4XL,2,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/5.10.25_Universal_qnt20/NORMAL_singles/Принт 5в1 черный_4XL-2.pdf
singles_group,Universal,Принт 5в1 черный,L,4,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/5.10.25_Universal_qnt20/NORMAL_singles/Принт 5в1 черный_L-4.pdf
singles_group,Universal,Принт 5в1 черный,M,2,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/5.10.25_Universal_qnt20/NORMAL_singles/Принт 5в1 черный_M-2.pdf
singles_group,Universal,Принт 5в1 черный,XL,5,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/5.10.25_Universal_qnt20/NORMAL_singles/Принт 5в1 черный_XL-5.pdf
singles_group,Universal,Трусы белые,L,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/5.10.25_Universal_qnt20/NORMAL_singles/Трусы белые_L-1.pdf
