product_url,product_code,total_sellers_qnt,seller_name,price_kzt,ratings_qnt,review_date_oldest,review_date_latest
https://kaspi.kz/shop/p/lanvin-eclat-d-arpege-edp-100-atomaizer-10-ml-parfjumernaja-voda-edp-110-ml-dlja-zhenschin-117158697/,117158697,5,Aroma Secret,25999,64,13-03-2024,04-10-2025
https://kaspi.kz/shop/p/lanvin-eclat-d-arpege-edp-100-atomaizer-10-ml-parfjumernaja-voda-edp-110-ml-dlja-zhenschin-117158697/,117158697,5,Love in Paris,25999,64,13-03-2024,04-10-2025
https://kaspi.kz/shop/p/paco-rabanne-ultraviolet-parfjumernaja-voda-edp-80-ml-17300851/,17300851,4,PrimeStore.KZ,35016,167,13-12-2018,28-09-2025
https://kaspi.kz/shop/p/paco-rabanne-ultraviolet-parfjumernaja-voda-edp-80-ml-17300851/,17300851,4,Elegance Fragrance,35017,167,13-12-2018,28-09-2025
https://kaspi.kz/shop/p/paco-rabanne-ultraviolet-parfjumernaja-voda-edp-80-ml-17300851/,17300851,4,ПАРФЮМ.KZ,40495,167,13-12-2018,28-09-2025
https://kaspi.kz/shop/p/paco-rabanne-ultraviolet-parfjumernaja-voda-edp-80-ml-17300851/,17300851,4,Estual,46349,167,13-12-2018,28-09-2025
https://kaspi.kz/shop/p/lanvin-eclat-d-arpege-parfjumernaja-voda-edp-30-atomaizer-2-parfjumernaja-voda-edp-32-ml-dlja-zhenschin-137962414/,137962414,1,PARFUM-KZ - Официальный Магазин,18170,8,19-05-2025,15-09-2025
https://kaspi.kz/shop/p/yves-rocher-comme-une-evidence-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-118506222/,118506222,1,Yves Rocher France,22560,26,17-06-2024,03-10-2025
https://kaspi.kz/shop/p/essens-parfjum-dlja-zhenschin-w141-duhi-parfum-50-ml-dlja-zhenschin-131877507/,131877507,2,ЭКО МАРКЕТ,13798,14,13-01-2025,12-09-2025
https://kaspi.kz/shop/p/essens-parfjum-dlja-zhenschin-w141-duhi-parfum-50-ml-dlja-zhenschin-131877507/,131877507,2,RAYANA BEAUTY,13800,14,13-01-2025,12-09-2025
https://kaspi.kz/shop/p/armaf-club-de-nuit-intense-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-118373398/,118373398,6,Perfume store,10000,109,31-07-2024,03-10-2025
https://kaspi.kz/shop/p/armaf-club-de-nuit-intense-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-118373398/,118373398,6,AromaButik,10000,109,31-07-2024,03-10-2025
https://kaspi.kz/shop/p/armaf-club-de-nuit-intense-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-118373398/,118373398,6,ИП AROMA-MAGIA,10050,109,31-07-2024,03-10-2025
https://kaspi.kz/shop/p/armaf-club-de-nuit-intense-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-118373398/,118373398,6,OMIRA,15000,109,31-07-2024,03-10-2025
https://kaspi.kz/shop/p/armaf-club-de-nuit-intense-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-118373398/,118373398,6,ИП ЛАВРОВА Е.Б.,18000,109,31-07-2024,03-10-2025
https://kaspi.kz/shop/p/armaf-club-de-nuit-intense-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-118373398/,118373398,6,Estual,30816,109,31-07-2024,03-10-2025
https://kaspi.kz/shop/p/prada-paradoxe-virtual-flower-zhenskaja-parfjumernaja-voda-edp-30-ml-132568392/,132568392,5,MonAmie,37870,13,20-02-2025,02-09-2025
https://kaspi.kz/shop/p/prada-paradoxe-virtual-flower-zhenskaja-parfjumernaja-voda-edp-30-ml-132568392/,132568392,5,Monamie kz,37870,13,20-02-2025,02-09-2025
