product_url,product_code,total_sellers_qnt,seller_name,price_kzt
https://kaspi.kz/shop/p/chanel-chance-eau-fraiche-tualetnaja-voda-edt-50-ml-dlja-zhenschin-17301496/?c=710000000,17301496,5,AROMELIA,46297
https://kaspi.kz/shop/p/chanel-chance-eau-fraiche-tualetnaja-voda-edt-50-ml-dlja-zhenschin-17301496/?c=710000000,17301496,5,Секрет Аромата,46299
https://kaspi.kz/shop/p/chanel-chance-eau-fraiche-tualetnaja-voda-edt-50-ml-dlja-zhenschin-17301496/?c=710000000,17301496,5,Aromatic.kz,46303
https://kaspi.kz/shop/p/chanel-chance-eau-fraiche-tualetnaja-voda-edt-50-ml-dlja-zhenschin-17301496/?c=710000000,17301496,5,FLORA,46306
https://kaspi.kz/shop/p/chanel-chance-eau-fraiche-tualetnaja-voda-edt-50-ml-dlja-zhenschin-17301496/?c=710000000,17301496,5,Multibrands_kz,46309
https://kaspi.kz/shop/p/manzar-l-immensite-ekstrakt-duhov-extrait-de-parfum-35-ml-dlja-muzhchin-132205381/?c=710000000,132205381,1,ИП БИНАЗАРОВА,29990
https://kaspi.kz/shop/p/lanvin-eclat-d-arpege-parfjumernaja-voda-edp-30-atomaizer-2-parfjumernaja-voda-edp-32-ml-dlja-zhenschin-137962414/?c=710000000,137962414,1,PARFUM-KZ - Официальный Магазин,18170
https://kaspi.kz/shop/p/flower-knows-strawberry-milk-shake-duhi-parfum-50-ml-dlja-zhenschin-134046452/?c=710000000,134046452,1,Soul Beauty,35000
https://kaspi.kz/shop/p/emporio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-101321619/?c=710000000,101321619,5,RN Perfume,43683
https://kaspi.kz/shop/p/emporio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-101321619/?c=710000000,101321619,5,INO,43684
https://kaspi.kz/shop/p/emporio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-101321619/?c=710000000,101321619,5,Aromatic.kz,43688
https://kaspi.kz/shop/p/emporio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-101321619/?c=710000000,101321619,5,FLORA,43689
https://kaspi.kz/shop/p/emporio-armani-stronger-with-you-absolutely-parfjumernaja-voda-edp-100-ml-101321619/?c=710000000,101321619,5,Vellor PARFUM,43690
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/?c=710000000,17302013,5,All_Goods,26899
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/?c=710000000,17302013,5,ELISSIA,26900
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/?c=710000000,17302013,5,Aroma Secret,26999
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/?c=710000000,17302013,5,Love in Paris,26999
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/?c=710000000,17302013,5,APG техникс,27387
https://kaspi.kz/shop/p/manzar-tygar-le-gemme-ekstrakt-duhov-extrait-de-parfum-35-ml-dlja-muzhchin-130258646/?c=710000000,130258646,1,ИП БИНАЗАРОВА,25990
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/?c=710000000,138047230,5,Perfume shop,33339
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/?c=710000000,138047230,5,PARFUM-KZ - Официальный Магазин,33340
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/?c=710000000,138047230,5,MIM Cosmetics,34995
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/?c=710000000,138047230,5,Aroma Secret,34999
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/?c=710000000,138047230,5,Love in Paris,34999
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,5,Aromatic.kz,27399
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,5,Vellor PARFUM,27402
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,5,ZARINA BEAUTY,27404
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,5,FLORA,27405
https://kaspi.kz/shop/p/giorgio-armani-my-way-parfjumernaja-voda-edp-50-ml-dlja-zhenschin-100830516/?c=710000000,100830516,5,ELVIN Perfume,27408
