product_url,product_code,total_sellers_qnt,seller_name,price_kzt
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/?c=710000000,17301397,6,All_Goods,15989
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/?c=710000000,17301397,6,PrimeStore.KZ,15990
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/?c=710000000,17301397,6,Beauty Market KZ,16400
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/?c=710000000,17301397,6,Aroma Secret,16666
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-30-ml-dlja-muzhchin-17301397/?c=710000000,17301397,6,MonAmie,17095
https://kaspi.kz/shop/p/tiziana-terenzi-kirke-extrait-de-parfum-100-atomaizer-10-ml-extrait-de-parfum-110-ml-uniseks-133406912/?c=710000000,133406912,2,Adel Market,82997
https://kaspi.kz/shop/p/tiziana-terenzi-kirke-extrait-de-parfum-100-atomaizer-10-ml-extrait-de-parfum-110-ml-uniseks-133406912/?c=710000000,133406912,2,PARFUM-KZ - Официальный Магазин,83000
https://kaspi.kz/shop/p/manzar-l-immensite-ekstrakt-duhov-extrait-de-parfum-35-ml-dlja-muzhchin-132205381/?c=710000000,132205381,1,ИП БИНАЗАРОВА,29990
https://kaspi.kz/shop/p/gamma-d-oro-su-152-parfjumernaja-voda-edp-50-ml-uniseks-115951158/?c=710000000,115951158,2,ТОО GAMMA D ORO,12900
https://kaspi.kz/shop/p/gamma-d-oro-su-152-parfjumernaja-voda-edp-50-ml-uniseks-115951158/?c=710000000,115951158,2,Beauty_shop_Astina,12900
https://kaspi.kz/shop/p/essens-parfjum-dlja-zhenschin-w141-duhi-parfum-50-ml-dlja-zhenschin-131877507/?c=710000000,131877507,1,RAYANA BEAUTY,13800
