sku_id,reason,ksp_sku_id,occurrences,total_qty,example_sku_key,example_my_size,example_store_name,has_ksp_id
"""=XLOOKUP([@[SKU_KEY]];BUSINESS_MODEL.XLSM!TABLE257[SKU_KEY];BUSINESS_MODEL.XLSM!TABLE257[KASPI_NAME_CORE];"""";0;1)""_",not_in_map,nan,1,0.0,"""=XLOOKUP([@[SKU_KEY]];BUSINESS_MODEL.XLSM!TABLE257[SKU_KEY];BUSINESS_MODEL.XLSM!TABLE257[KASPI_NAME_CORE];"""";0;1)""",,,True
12990_,not_in_map,nan,1,0.0,12990,,,True
14990_,not_in_map,nan,1,0.0,14990,,,True
BELI51_2XL,not_in_map,132549028_648010366,1,0.0,BELI51,2XL,UNIVERSAL,True
BELI51_3XL,not_in_map,132549028_471831165,1,0.0,BELI51,3XL,UNIVERSAL,True
BELI51_3XL,not_in_map,OnlyFit 004,1,0.0,BELI51,3XL,UNIVERSAL,True
BELI51_3XL,not_in_map,OnlyFit 058,1,0.0,BELI51,3XL,UNIVERSAL,True
BELI51_4XL,not_in_map,132549028_375565390,1,0.0,BELI51,4XL,UNIVERSAL,True
BELI51_4XL,not_in_map,OnlyFit 005,1,0.0,BELI51,4XL,UNIVERSAL,True
BELI51_4XL,not_in_map,OnlyFit 055,1,0.0,BELI51,4XL,UNIVERSAL,True
BELI51_L,not_in_map,132549028_177560343,1,0.0,BELI51,L,UNIVERSAL,True
BELI51_L,not_in_map,OnlyFit 033,1,0.0,BELI51,L,UNIVERSAL,True
BELI51_S,not_in_map,OnlyFit 000,1,0.0,BELI51,S,UNIVERSAL,True
BELI51_XL,not_in_map,132549028_025679624,1,0.0,BELI51,XL,UNIVERSAL,True
BELI51_XL,not_in_map,132549028_380160845,1,0.0,BELI51,XL,UNIVERSAL,True
BELI51_XL,not_in_map,132549028_443405699,1,0.0,BELI51,XL,UNIVERSAL,True
BELI51_XL,not_in_map,OnlyFit 002,1,0.0,BELI51,XL,UNIVERSAL,True
BELI51_XL,not_in_map,OnlyFit 003,1,0.0,BELI51,XL,UNIVERSAL,True
BELI51_XL,not_in_map,OnlyFit 004,1,0.0,BELI51,XL,UNIVERSAL,True
CL_NEW_CLO_KIDS_KID_31_BLACK_26,not_in_map,CL_NEW-CLO_KIDS_KID-31_BLACK_128_(24),1,0.0,CL_NEW_CLO_KIDS_KID_31_BLACK,26,ONLYFIT,True
CL_NEW_CLO_KIDS_KID_31_BLACK_28,not_in_map,CL_NEW-CLO_KIDS_KID-31_BLACK_140-146_(28),1,0.0,CL_NEW_CLO_KIDS_KID_31_BLACK,28,ONLYFIT,True
CL_NEW_CLO_KIDS_KID_31_BLACK_28,not_in_map,CL_NEW-CLO_KIDS_KID-31_BLACK_146-152_(28),1,0.0,CL_NEW_CLO_KIDS_KID_31_BLACK,28,ONLYFIT,True
CL_NEW_CLO_KIDS_KID_31_BLACK_30,not_in_map,CL_NEW-CLO_KIDS_KID-31_BLACK_134_(26),1,0.0,CL_NEW_CLO_KIDS_KID_31_BLACK,30,ONLYFIT,True
CL_NEW_CLO_KIDS_KID_31_BLACK_M,not_in_map,CL_NEW-CLO_KIDS_KID-31_BLACK_158-164_(30),1,0.0,CL_NEW_CLO_KIDS_KID_31_BLACK,M,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_BLACK_2XL,not_in_map,CL_NEW-CLO_MEN_LEG_BLACK_2XL 54_(3XL),1,0.0,CL_NEW_CLO_MEN_LEG_BLACK,2XL,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_BLACK_M,not_in_map,CL_NEW-CLO_MEN_LEG_BLACK_M 48_(L),1,0.0,CL_NEW_CLO_MEN_LEG_BLACK,M,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_BLACK_XL,not_in_map,CL_NEW-CLO_MEN_LEG_BLACK_54-56_(3XL),1,0.0,CL_NEW_CLO_MEN_LEG_BLACK,XL,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_BLACK_XL,not_in_map,CL_NEW-CLO_MEN_LEG_BLACK_L 50_(XL),1,0.0,CL_NEW_CLO_MEN_LEG_BLACK,XL,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_WHITE_2XL,not_in_map,CL_NEW-CLO_MEN_LEG_WHITE_2XL 54_(3XL),1,0.0,CL_NEW_CLO_MEN_LEG_WHITE,2XL,ONLYFIT,True
CL_NEW_CLO_MEN_LEG_WHITE_2XL,not_in_map,CL_NEW-CLO_MEN_LEG_WHITE_XL 52_(2XL),1,0.0,CL_NEW_CLO_MEN_LEG_WHITE,2XL,ONLYFIT,True
