old_sku_key,new_sku_key,old_my_size,new_my_size,old_sku_id,new_sku_id
CL_NEW-CLO_MEN_RUSH-PRO_BLACK,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,XL,XL,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_XL,CL_NEW_CLO_MEN_RUSH_PRO_BLACK_XL
CL_NEW-CLO_MEN_RUSH-PRO_BLACK,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,L,L,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_L,CL_NEW_CLO_MEN_RUSH_PRO_BLACK_L
CL_NEW-CLO_MEN_RUSH-PRO_BLACK,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,L,L,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_L,CL_NEW_CLO_MEN_RUSH_PRO_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,XL,XL,CL_OC_MEN_PRINT51_BLACK_XL,CL_OC_MEN_PRINT51_BLACK_XL
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,L,L,CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,L,L,CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,L,L,CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,3XL,3XL,CL_OC_MEN_PRINT51_BLACK_3XL,CL_OC_MEN_PRINT51_BLACK_3XL
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,2XL,2XL,CL_OC_MEN_PRINT51_BLACK_2XL,CL_OC_MEN_PRINT51_BLACK_2XL
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,2XL,2XL,CL_OC_MEN_PRINT51_BLACK_2XL,CL_OC_MEN_PRINT51_BLACK_2XL
CL_NEW-CLO_MEN_LEG_BLACK,CL_NEW_CLO_MEN_LEG_BLACK,XL,XL,CL_NEW-CLO_MEN_LEG_BLACK_XL,CL_NEW_CLO_MEN_LEG_BLACK_XL
CL_NEW-CLO_MEN_LEG_BLACK,CL_NEW_CLO_MEN_LEG_BLACK,XL,XL,CL_NEW-CLO_MEN_LEG_BLACK_XL,CL_NEW_CLO_MEN_LEG_BLACK_XL
