sku_id,sku_key,my_size,stock_before,stock_10.8.25,sales_start_date,sold _since_start,kaspi_name_core,recommended_retail_price,product_type,sub_category,brend,model,color,gender,season,basecost_cny,weight_kg,vendor_id,store_name
CL_NEW-CLO_MEN_T-SHIRT_BLACK_S,CL_NEW-CLO_MEN_T-SHIRT_BLACK,S,0,1,2025-07-30,,Футболка черная,0,CL,,New-Clo,T-Shirt,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_T-SHIRT_BLACK_M,CL_NEW-CLO_MEN_T-SHIRT_BLACK,M,0,6,2025-07-30,,Футболка черная,0,CL,,New-Clo,T-Shirt,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_T-SHIRT_BLACK_L,CL_NEW-CLO_MEN_T-SHIRT_BLACK,L,0,6,2025-07-30,,Футболка черная,0,CL,,New-Clo,T-Shirt,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_T-SHIRT_BLACK_XL,CL_NEW-CLO_MEN_T-SHIRT_BLACK,XL,0,12,2025-07-30,,Футболка черная,0,CL,,New-Clo,T-Shirt,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_T-SHIRT_BLACK_2XL,CL_NEW-CLO_MEN_T-SHIRT_BLACK,2XL,0,17,2025-07-30,,Футболка черная,0,CL,,New-Clo,T-Shirt,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_T-SHIRT_BLACK_3XL,CL_NEW-CLO_MEN_T-SHIRT_BLACK,3XL,0,14,2025-07-30,,Футболка черная,0,CL,,New-Clo,T-Shirt,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_RUSH-PRO_BLACK_S,CL_NEW-CLO_MEN_RUSH-PRO_BLACK,S,2,2,2025-07-30,,Рашгард ДЛИННЫЙ РУКАВ черный,0,CL,,New-Clo,RUSH-Pro,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_RUSH-PRO_BLACK_M,CL_NEW-CLO_MEN_RUSH-PRO_BLACK,M,6,6,2025-07-30,,Рашгард ДЛИННЫЙ РУКАВ черный,0,CL,,New-Clo,RUSH-Pro,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_RUSH-PRO_BLACK_L,CL_NEW-CLO_MEN_RUSH-PRO_BLACK,L,13,6,2025-07-30,,Рашгард ДЛИННЫЙ РУКАВ черный,0,CL,,New-Clo,RUSH-Pro,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_RUSH-PRO_BLACK_XL,CL_NEW-CLO_MEN_RUSH-PRO_BLACK,XL,22,12,2025-07-30,,Рашгард ДЛИННЫЙ РУКАВ черный,0,CL,,New-Clo,RUSH-Pro,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_RUSH-PRO_BLACK_2XL,CL_NEW-CLO_MEN_RUSH-PRO_BLACK,2XL,17,17,2025-07-30,,Рашгард ДЛИННЫЙ РУКАВ черный,0,CL,,New-Clo,RUSH-Pro,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_RUSH-PRO_BLACK_3XL,CL_NEW-CLO_MEN_RUSH-PRO_BLACK,3XL,15,14,2025-07-30,,Рашгард ДЛИННЫЙ РУКАВ черный,0,CL,,New-Clo,RUSH-Pro,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_KIDS_KID-31_BLACK_22,CL_NEW-CLO_KIDS_KID-31_BLACK,22,1,0,2025-07-30,,Спортивный 3в1 черный,0,CL,,New-Clo,Kid-31,Black,Kids,All,,0.4457364341085271,SHR,ONLYFIT
CL_NEW-CLO_KIDS_KID-31_BLACK_24,CL_NEW-CLO_KIDS_KID-31_BLACK,24,4,0,2025-07-30,,Спортивный 3в1 черный,0,CL,,New-Clo,Kid-31,Black,Kids,All,,0.4457364341085271,SHR,ONLYFIT
CL_NEW-CLO_KIDS_KID-31_BLACK_26,CL_NEW-CLO_KIDS_KID-31_BLACK,26,6,0,2025-07-30,,Спортивный 3в1 черный,0,CL,,New-Clo,Kid-31,Black,Kids,All,,0.4457364341085271,SHR,ONLYFIT
CL_NEW-CLO_KIDS_KID-31_BLACK_28,CL_NEW-CLO_KIDS_KID-31_BLACK,28,4,0,2025-07-30,,Спортивный 3в1 черный,0,CL,,New-Clo,Kid-31,Black,Kids,All,,0.4457364341085271,SHR,ONLYFIT
CL_NEW-CLO_KIDS_KID-31_BLACK_30,CL_NEW-CLO_KIDS_KID-31_BLACK,30,5,0,2025-07-30,,Спортивный 3в1 черный,0,CL,,New-Clo,Kid-31,Black,Kids,All,,0.4457364341085271,SHR,ONLYFIT
CL_NEW-CLO_MEN_LEG_BLACK_S,CL_NEW-CLO_MEN_LEG_BLACK,S,4,0,2025-07-30,,Леггинсы черные,0,CL,,New-Clo,LEG,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_LEG_BLACK_M,CL_NEW-CLO_MEN_LEG_BLACK,M,18,0,2025-07-30,,Леггинсы черные,0,CL,,New-Clo,LEG,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_LEG_BLACK_L,CL_NEW-CLO_MEN_LEG_BLACK,L,28,0,2025-07-30,,Леггинсы черные,0,CL,,New-Clo,LEG,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
CL_NEW-CLO_MEN_LEG_BLACK_XL,CL_NEW-CLO_MEN_LEG_BLACK,XL,48,0,2025-07-30,,Леггинсы черные,0,CL,,New-Clo,LEG,Black,Men,All,,0.1262919896640827,SHR,ONLYFIT
