order_id,handover,warehouse,status,signature,__source_file__
662562920,2025-10-06,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
662194155,2025-10-06,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
662904002,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663010739,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662869814,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662844065,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662202085,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662461531,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663104273,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662225340,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662421726,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662808680,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663120091,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663080051,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662828454,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662898311,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663111067,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662626480,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662238028,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663127260,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662728661,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662193051,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662899308,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662857864,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662176039,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662728346,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663009430,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662746238,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662372645,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662735182,2025-10-06,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
662448786,2025-10-06,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
662987977,2025-10-06,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
662982713,2025-10-06,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
662814529,2025-10-06,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
