type,store,core,size,count,output
singles_group,Universal,Принт 5в1 черный,2XL,2,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_2XL-2.pdf
singles_group,Universal,Принт 5в1 черный,3XL,2,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_3XL-2.pdf
singles_group,Universal,Принт 5в1 черный,4XL,2,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_4XL-2.pdf
singles_group,Universal,Принт 5в1 черный,M,2,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_M-2.pdf
singles_group,Universal,Принт 5в1 черный,S,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_S-1.pdf
singles_group,Universal,Принт 5в1 черный,XL,7,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Принт 5в1 черный_XL-7.pdf
singles_group,Universal,Трусы белые,XL,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_Universal_qnt17/NORMAL_singles/Трусы белые_XL-1.pdf
