type,store,core,size,count,output
singles_group,OnlyFit,Berserk футболка черная,2XL,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Berserk футболка черная_2XL-1.pdf
singles_group,OnlyFit,Nike Футболка черная,XL,1,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Nike Футболка черная_XL-1.pdf
singles_group,OnlyFit,Принт 5в1 черный,2XL,12,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_2XL-12.pdf
singles_group,OnlyFit,Принт 5в1 черный,3XL,3,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_3XL-3.pdf
singles_group,OnlyFit,Принт 5в1 черный,4XL,2,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_4XL-2.pdf
singles_group,OnlyFit,Принт 5в1 черный,L,5,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_L-5.pdf
singles_group,OnlyFit,Принт 5в1 черный,M,5,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_M-5.pdf
singles_group,OnlyFit,Принт 5в1 черный,XL,5,/Users/adil/Docs/kaspi_etl/docs/ops/kaspi/Kaspi_orders/Today/8.10.25_OnlyFit_qnt36/NORMAL_singles/Принт 5в1 черный_XL-5.pdf
