order_id,handover,warehouse,status,signature,__source_file__
663724297,2025-10-07,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
663986946,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663690217,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663493287,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
664085940,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663314464,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
664010191,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663399000,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663652905,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663475173,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663295606,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
662421726,2025-10-06,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663524657,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
664146554,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663651074,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663507760,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663400644,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663944950,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663627321,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663399870,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663224545,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
664209222,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663979883,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663675511,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663563275,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663680946,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663430412,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
664049378,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663722182,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
664282345,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663698888,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
664362045,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663541856,2025-10-07,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
663804782,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663276276,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663506064,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
664236132,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663506461,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663953135,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663779874,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663605426,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
664353656,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663676717,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663842727,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663824440,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663974810,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
664331501,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
664269918,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
664264647,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663889630,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663558484,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663496409,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
664123734,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663904599,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663980195,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663688527,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663645647,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663685574,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
664178644,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663483562,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663736592,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663345475,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
664262254,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
664189550,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663794376,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
663404709,2025-10-07,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
