order_id,handover,warehouse,status,signature,__source_file__
651638639,2025-09-25,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
651564449,2025-09-25,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
651504262,2025-09-25,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
651473100,2025-09-25,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
651325968,2025-09-25,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
651292658,2025-09-25,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
651226868,2025-09-25,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
651204515,2025-09-25,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
651108031,2025-09-25,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
651048068,2025-09-25,30290083_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (1).xlsx
651599657,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
651511919,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
651381421,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
651303766,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
651295573,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
651281719,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
651256038,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
651110289,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
651073995,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
650986759,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
650970119,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
650964376,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
650944954,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
650886006,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
650874372,2025-09-25,30137883_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders (2).xlsx
651612209,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651508606,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651485783,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651436903,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651404877,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651386386,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651324622,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651229928,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651177154,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651172079,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651162107,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651147897,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651137385,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651114110,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651084695,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
651073757,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
650975778,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
650823275,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
650815492,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
650802119,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
650755004,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
650714848,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
650657465,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
650637921,2025-09-25,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
650202740,2025-09-24,30141222_PP1,Ожидает передачи курьеру,Не требуется,ActiveOrders.xlsx
